amfi_code,date,nav,daily_return_pct
100016,2022-01-03,520.4608,
100016,2022-01-04,515.0971,-0.010306
100016,2022-01-05,521.7239,0.012865
100016,2022-01-06,515.788,-0.011377
100016,2022-01-07,515.1639,-0.00121
100016,2022-01-08,515.1639,0.0
100016,2022-01-09,515.1639,0.0
100016,2022-01-10,510.7136,-0.008639
100016,2022-01-11,513.5542,0.005562
100016,2022-01-12,512.3195,-0.002404
100016,2022-01-13,510.2445,-0.00405
100016,2022-01-14,514.3636,0.008073
100016,2022-01-15,514.3636,0.0
100016,2022-01-16,514.3636,0.0
100016,2022-01-17,514.7627,0.000776
100016,2022-01-18,517.3803,0.005085
100016,2022-01-19,513.1866,-0.008106
100016,2022-01-20,507.1294,-0.011803
100016,2022-01-21,507.871,0.001462
100016,2022-01-22,507.871,0.0
100016,2022-01-23,507.871,0.0
100016,2022-01-24,506.7062,-0.002293
100016,2022-01-25,509.7762,0.006059
100016,2022-01-26,509.68,-0.000189
100016,2022-01-27,510.8661,0.002327
100016,2022-01-28,503.8641,-0.013706
100016,2022-01-29,503.8641,0.0
100016,2022-01-30,503.8641,0.0
100016,2022-01-31,512.5903,0.017319
100016,2022-02-01,512.1124,-0.000932
100016,2022-02-02,515.5386,0.00669
100016,2022-02-03,512.0153,-0.006834
100016,2022-02-04,513.6729,0.003237
100016,2022-02-05,513.6729,0.0
100016,2022-02-06,513.6729,0.0
100016,2022-02-07,508.0666,-0.010914
100016,2022-02-08,510.3595,0.004513
100016,2022-02-09,509.0223,-0.00262
100016,2022-02-10,509.4161,0.000774
100016,2022-02-11,512.826,0.006694
100016,2022-02-12,512.826,0.0
100016,2022-02-13,512.826,0.0
100016,2022-02-14,507.5435,-0.010301
100016,2022-02-15,504.7492,-0.005506
100016,2022-02-16,507.0506,0.004559
100016,2022-02-17,516.7872,0.019202
100016,2022-02-18,516.4246,-0.000702
100016,2022-02-19,516.4246,0.0
100016,2022-02-20,516.4246,0.0
100016,2022-02-21,519.3918,0.005746
100016,2022-02-22,519.1698,-0.000427
100016,2022-02-23,528.4118,0.017801
100016,2022-02-24,520.6004,-0.014783
100016,2022-02-25,521.3038,0.001351
100016,2022-02-26,521.3038,0.0
100016,2022-02-27,521.3038,0.0
100016,2022-02-28,514.1489,-0.013725
100016,2022-03-01,503.1674,-0.021359
100016,2022-03-02,504.7495,0.003144
100016,2022-03-03,505.6316,0.001748
100016,2022-03-04,504.6233,-0.001994
100016,2022-03-05,504.6233,0.0
100016,2022-03-06,504.6233,0.0
100016,2022-03-07,504.411,-0.000421
100016,2022-03-08,518.6513,0.028232
100016,2022-03-09,517.7387,-0.00176
100016,2022-03-10,520.3416,0.005027
100016,2022-03-11,517.6372,-0.005197
100016,2022-03-12,517.6372,0.0
100016,2022-03-13,517.6372,0.0
100016,2022-03-14,519.2545,0.003124
100016,2022-03-15,518.432,-0.001584
100016,2022-03-16,516.825,-0.0031
100016,2022-03-17,525.4534,0.016695
100016,2022-03-18,531.2109,0.010957
100016,2022-03-19,531.2109,0.0
100016,2022-03-20,531.2109,0.0
100016,2022-03-21,532.1264,0.001723
100016,2022-03-22,521.6911,-0.019611
100016,2022-03-23,520.3011,-0.002664
100016,2022-03-24,533.1283,0.024653
100016,2022-03-25,532.3194,-0.001517
100016,2022-03-26,532.3194,0.0
100016,2022-03-27,532.3194,0.0
100016,2022-03-28,537.8012,0.010298
100016,2022-03-29,544.965,0.013321
100016,2022-03-30,546.3002,0.00245
100016,2022-03-31,542.5392,-0.006884
100016,2022-04-01,531.285,-0.020744
100016,2022-04-02,531.285,0.0
100016,2022-04-03,531.285,0.0
100016,2022-04-04,534.7762,0.006571
100016,2022-04-05,531.2213,-0.006647
100016,2022-04-06,532.3217,0.002071
100016,2022-04-07,526.7582,-0.010451
100016,2022-04-08,525.7986,-0.001822
100016,2022-04-09,525.7986,0.0
100016,2022-04-10,525.7986,0.0
100016,2022-04-11,526.2264,0.000814
100016,2022-04-12,527.7466,0.002889
100016,2022-04-13,522.8529,-0.009273
100016,2022-04-14,528.6739,0.011133
100016,2022-04-15,526.1696,-0.004737
100016,2022-04-16,526.1696,0.0
100016,2022-04-17,526.1696,0.0
100016,2022-04-18,518.7241,-0.01415
100016,2022-04-19,518.493,-0.000446
100016,2022-04-20,518.9178,0.000819
100016,2022-04-21,519.9214,0.001934
100016,2022-04-22,526.4763,0.012607
100016,2022-04-23,526.4763,0.0
100016,2022-04-24,526.4763,0.0
100016,2022-04-25,525.6507,-0.001568
100016,2022-04-26,525.3674,-0.000539
100016,2022-04-27,520.5493,-0.009171
100016,2022-04-28,524.6005,0.007783
100016,2022-04-29,525.7251,0.002144
100016,2022-04-30,525.7251,0.0
100016,2022-05-01,525.7251,0.0
100016,2022-05-02,524.0515,-0.003183
100016,2022-05-03,515.5881,-0.01615
100016,2022-05-04,522.4674,0.013343
100016,2022-05-05,517.1078,-0.010258
100016,2022-05-06,514.6837,-0.004688
100016,2022-05-07,514.6837,0.0
100016,2022-05-08,514.6837,0.0
100016,2022-05-09,516.5793,0.003683
100016,2022-05-10,511.4204,-0.009987
100016,2022-05-11,504.9889,-0.012576
100016,2022-05-12,495.8735,-0.018051
100016,2022-05-13,499.2941,0.006898
100016,2022-05-14,499.2941,0.0
100016,2022-05-15,499.2941,0.0
100016,2022-05-16,497.1556,-0.004283
100016,2022-05-17,510.4206,0.026682
100016,2022-05-18,506.2251,-0.00822
100016,2022-05-19,502.3871,-0.007582
100016,2022-05-20,500.1462,-0.004461
100016,2022-05-21,500.1462,0.0
100016,2022-05-22,500.1462,0.0
100016,2022-05-23,501.4785,0.002664
100016,2022-05-24,499.6609,-0.003624
100016,2022-05-25,502.6257,0.005934
100016,2022-05-26,498.5637,-0.008082
100016,2022-05-27,492.78,-0.011601
100016,2022-05-28,492.78,0.0
100016,2022-05-29,492.78,0.0
100016,2022-05-30,485.277,-0.015226
100016,2022-05-31,476.0989,-0.018913
